Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[531]	validation_0-logloss:0.39961
[532]	validation_0-logloss:0.39904
[533]	validation_0-logloss:0.39863
[534]	validation_0-logloss:0.39819
[535]	validation_0-logloss:0.39777
[536]	validation_0-logloss:0.39743
[537]	validation_0-logloss:0.39695
[538]	validation_0-logloss:0.39640
[539]	validation_0-logloss:0.39602
[540]	validation_0-logloss:0.39561
[541]	validation_0-logloss:0.39522
[542]	validation_0-logloss:0.39470
[543]	validation_0-logloss:0.39441
[544]	validation_0-logloss:0.39415
[545]	validation_0-logloss:0.39384
[546]	validation_0-logloss:0.39334
[547]	validation_0-logloss:0.39301
[548]	validation_0-logloss:0.39263
[549]	validation_0-logloss:0.39222
[550]	validation_0-logloss:0.39170
[551]	validation_0-logloss:0.39145
[552]	validation_0-logloss:0.39117
[553]	validation_0-logloss:0.39058
[554]	validation_0-logloss:0.39014
[555]	validation_0-logloss:0.38968
[556]	validation_0-logloss:0.38937
[557]	validation_0-logloss:0.38882
[558]	validation_0-logloss:0.38853
[559]	validation_0-logloss:0.38813
[560]	validation_0-logloss:0.38769
[561]	validation_0-logloss:0.38736
[562]	validation_0-logloss:0.38710
[563]	validation_0-logloss:0.38679
[564]	validation_0-logloss:0.38650
[565]	validation_0-logloss:0.38595
[566]	validation_0-logloss:0.38565
[567]	validation_0-logloss:0.38532
[568]	validation_0-logloss:0.38498
[569]	validation_0-logloss:0.38474
[570]	validation_0-logloss:0.38436
[571]	validation_0-logloss:0.38382
[572]	validation_0-logloss:0.38326
[573]	validation_0-logloss:0.38283
[574]	validation_0-logloss:0.38232
[575]	validation_0-logloss:0.38193
[576]	validation_0-logloss:0.38179
[577]	validation_0-logloss:0.38144
[578]	validation_0-logloss:0.38106
[579]	validation_0-logloss:0.38059
[580]	validation_0-logloss:0.38016
[581]	validation_0-logloss:0.37972
[582]	validation_0-logloss:0.37952
[583]	validation_0-logloss:0.37911
[584]	validation_0-logloss:0.37875
[585]	validation_0-logloss:0.37840
[586]	validation_0-logloss:0.37815
[587]	validation_0-logloss:0.37772
[588]	validation_0-logloss:0.37736
[589]	validation_0-logloss:0.37690
[590]	validation_0-logloss:0.37647
[591]	validation_0-logloss:0.37617
[592]	validation_0-logloss:0.37567
[593]	validation_0-logloss:0.37536
[594]	validation_0-logloss:0.37514
[595]	validation_0-logloss:0.37475
[596]	validation_0-logloss:0.37432
